Ações por Índice
Dados de 1 a 4 de 2022
Empresa;Código;Índices dos quais participa
BANRISUL;PNB  N1;BRSR6;IBRA,IDIV,IFNC,IGCT,IGCX,ITAG,SMLL;
BARCLAYS PLC;DRN;B1CS34;BDRX;
BBSEGURIDADE;ON   NM;BBSE3;IBOV,IBRA,IBXX,IDIV,IFNC,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX;
BEMOBI TECH;ON   NM;BMOB3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
BERKSHIRE;DRN;BERK34;BDRX;
BEST BUY;DRN;BBYY34;BDRX;
BEYOND MEAT;DRN;B2YN34;BDRX;
BHP GROUP;DRN;BHPG34;BDRX;
BHP GROUP PL;DRN;B1BL34;BDRX;
BILIBILI INC;DRN;B1IL34;BDRX;
BIOGEN;DRN;BIIB34;BDRX;
BIOMM;ON   MA;BIOM3;ITAG;
BIONTECH SE;DRN;B1NT34;BDRX;
BK BRASIL;ON   NM;BKBR3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
BLACKROCK;DRN;BLAK34;BDRX;
BLAU;ON   NM;BLAU3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
BLOCK INC.;DRN;S2QU34;BDRX;
BNY MELLON;DRN;BONY34;BDRX;
BOA SAFRA;ON   NM;SOJA3;IGCX,IGNM,ITAG;
BOA VISTA;ON   NM;BOAS3;IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL;
BOEING;DRN;BOEI34;BDRX;
BOOKING;DRN;BKNG34;BDRX;
BOSTON PROP;DRN;BOXP34;BDRX;
BOSTON SCIEN;DRN;B1SX34;BDRX;
BP PLC;DRN;B1PP34;BDRX;
BR BROKERS;ON   NM;BBRK3;IGCX,IGNM,ITAG;
BR MALLS PAR;ON   NM;BRML3;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,IMOB,ITAG,IVBX,SMLL;
BR PARTNERS;UNT  N2;BRBI11;IGCX;
BR PROPERT;ON   NM;BRPR3;IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
BRADESCO;ON   N1;BBDC3;IBOV,IBRA,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,ITAG,MLCX;
BRADESCO;PN   N1;BBDC4;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX;
BRADESPAR;ON   N1;BRAP3;IGCX,ITAG;
BRADESPAR;PN   N1;BRAP4;IBOV,IBRA,IBXL,IBXX,IDIV,IGCT,IGCX,IMAT,ITAG,IVBX,MLCX;
BRASIL;ON   NM;BBAS3;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX;
BRASILAGRO;ON   NM;AGRO3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL;
BRASKEM;ON   N1;BRKM3;IGCX,ITAG;
BRASKEM;PNA  N1;BRKM5;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,IVBX,MLCX;
BRASKEM;PNB  N1;BRKM6;ITAG;
BRF SA;ON   NM;BRFS3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX;
BRISANET;ON   NM;BRIT3;IGCX,IGNM,ITAG;
BRISTOLMYERS;DRN;BMYB34;BDRX;
BRITISH AMER;DRN;B1TI34;BDRX;
BROADCOM INC;DRN;AVGO34;BDRX;
BTGP BANCO;UNT  N2;BPAC11;IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX;
CAIXA SEGURI;ON   NM;CXSE3;IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,MLCX;
CAMIL;ON   NM;CAML3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
CAPRI HOLDI;DRN;CAPH34;BDRX;
CARNIVAL COR;DRN;C1CL34;BDRX;
CARREFOUR BR;ON   NM;CRFB3;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,MLCX;
CATERPILLAR;DRN;CATP34;BDRX;
CBA;ON   NM;CBAV3;IBRA,IGCT,IGCX,IGNM,IMAT,ITAG,SMLL;
CCR SA;ON   NM;CCRO3;IBOV,IBRA,IBXX,ICO2,IDIV,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
CEA MODAS;ON   NM;CEAB3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
CEDRO;ON   N1;CEDO3;IGCX;
CEDRO;PN   N1;CEDO4;IGCX,ITAG;
CELESC;PN   N2;CLSC4;IGCX,ITAG;
CEMIG;ON   N1;CMIG3;IBRA,IDIV,IGCT,IGCX,MLCX,UTIL;
